size,processes,operations,repeats,time_sec,time_median_sec,time_mean_sec,time_min_sec,time_std_sec,max_abs_error
200,1,16000000,3,0.00457,0.00457,0.004570333333333333,0.004568,2.5166114784234577e-06,1.4073492371480256e-07
200,2,16000000,3,0.002384,0.002384,0.0023826666666666666,0.002361,2.103172207246332e-05,1.4073492371480256e-07
200,4,16000000,3,0.001222,0.001222,0.0012223333333333333,0.001218,4.509249752822948e-06,1.4073492371480256e-07
200,8,16000000,3,0.000685,0.000685,0.0006753333333333333,0.000622,4.921720566360235e-05,1.4073492371480256e-07
400,1,128000000,3,0.048355,0.048355,0.04837066666666667,0.048349,3.247049943153353e-05,2.08733171191966e-07
400,2,128000000,3,0.024947,0.024947,0.025016333333333335,0.024944,0.00012269610154089336,2.08733171191966e-07
400,4,128000000,3,0.012855,0.012855,0.012872333333333333,0.012841,4.27239199200324e-05,2.08733171191966e-07
400,8,128000000,3,0.008164,0.008164,0.008740333333333334,0.007143,0.001950443624751388,2.08733171191966e-07
800,1,1024000000,3,0.435766,0.435766,0.43864533333333333,0.435554,0.005171835393101123,3.395439032161107e-07
800,2,1024000000,3,0.224572,0.224572,0.222614,0.216989,0.0049457698086344554,3.395439032161107e-07
800,4,1024000000,3,0.120899,0.120899,0.12019266666666667,0.114401,0.005472792918915654,3.395439032161107e-07
800,8,1024000000,3,0.067567,0.067567,0.066243,0.061059,0.004665106215296709,3.395439032161107e-07
1200,1,3456000000,3,1.558989,1.558989,1.551324,1.528082,0.02051323619032362,3.7731904178883724e-07
1200,2,3456000000,3,0.78392,0.78392,0.7854800000000001,0.781612,0.004840361969935769,3.7731904178883724e-07
1200,4,3456000000,3,0.400649,0.400649,0.40131033333333327,0.400525,0.0012543832481874502,3.7731904178883724e-07
1200,8,3456000000,3,0.24867,0.24867,0.236498,0.210519,0.022513321323163308,3.7731904178883724e-07
1600,1,8192000000,3,3.786525,3.786525,3.777867,3.750011,0.024692923115742976,4.720996003015898e-07
1600,2,8192000000,3,1.913493,1.913493,1.9133413333333333,1.911726,0.0015450929853356476,4.720996003015898e-07
1600,4,8192000000,3,0.964797,0.964797,0.9682376666666667,0.964343,0.006356639468566205,4.720996003015898e-07
1600,8,8192000000,3,0.535236,0.535236,0.5480613333333334,0.534785,0.022605831157763982,4.720996003015898e-07
2000,1,16000000000,3,7.404391,7.404391,7.412646,7.363718,0.05353498714859252,5.737951636053396e-07
2000,2,16000000000,3,3.784128,3.784128,3.854157666666667,3.779439,0.12537765623241373,5.737951636053396e-07
2000,4,16000000000,3,1.970657,1.970657,1.9765963333333332,1.951511,0.028522618837219856,5.737951636053396e-07
2000,8,16000000000,3,1.138494,1.138494,1.1019086666666666,1.011475,0.0787920607823741,5.737951636053396e-07
