size,local_size,mode,repeats,time_ms,time_median_ms,time_mean_ms,time_min_ms,time_std_ms,max_abs_error
256,4,naive,3,0.012,0.012,0.012333333333333333,0.012,0.0005773502691896253,1.690632431561312e-05
256,4,tiled,3,0.026,0.026,0.02333333333333333,0.018,0.004618802153517006,1.690632431561312e-05
256,8,naive,3,0.015,0.015,0.014333333333333332,0.013,0.0011547005383792516,1.690632431561312e-05
256,8,tiled,3,0.011,0.011,0.010666666666666666,0.01,0.0005773502691896253,1.690632431561312e-05
256,16,naive,3,0.009,0.009,0.009,0.009,0.0,1.690632431561312e-05
256,16,tiled,3,0.008,0.008,0.008,0.008,0.0,1.690632431561312e-05
512,4,naive,3,0.073,0.073,0.072,0.07,0.0017320508075688709,4.089806843055044e-05
512,4,tiled,3,0.14,0.14,0.13933333333333334,0.103,0.036004629331980814,4.089806843055044e-05
512,8,naive,3,0.069,0.069,0.06633333333333334,0.058,0.007371114795831991,4.089806843055044e-05
512,8,tiled,3,0.073,0.073,0.07266666666666666,0.071,0.0015275252316519481,4.089806843055044e-05
512,16,naive,3,0.04,0.04,0.04566666666666667,0.033,0.016258331197676265,4.089806843055044e-05
512,16,tiled,3,0.063,0.063,0.056333333333333326,0.043,0.011547005383792518,4.089806843055044e-05
1024,4,naive,3,0.296,0.296,0.2986666666666667,0.273,0.027098585448936872,6.922422217314761e-05
1024,4,tiled,3,0.567,0.567,0.5496666666666666,0.499,0.04460194315647392,6.922422217314761e-05
1024,8,naive,3,0.244,0.244,0.24633333333333332,0.221,0.02657693235370354,6.922422217314761e-05
1024,8,tiled,3,0.316,0.316,0.31266666666666665,0.301,0.010408329997330672,6.922422217314761e-05
1024,16,naive,3,0.24,0.24,0.27299999999999996,0.237,0.059774576535513844,6.922422217314761e-05
1024,16,tiled,3,0.243,0.243,0.264,0.236,0.042579337712087544,6.922422217314761e-05
1600,4,naive,3,0.721,0.721,0.7469999999999999,0.706,0.05850640990524029,0.00011936462672679227
1600,4,tiled,3,1.633,1.633,1.6903333333333332,1.613,0.11705269468633914,0.00011936462672679227
1600,8,naive,3,0.64,0.64,0.7256666666666667,0.627,0.1597696258158394,0.00011936462672679227
1600,8,tiled,3,0.846,0.846,0.8563333333333333,0.822,0.04050102879351753,0.00011936462672679227
1600,16,naive,3,0.878,0.878,0.874,0.858,0.01442220510185597,0.00011936462672679227
1600,16,tiled,3,0.77,0.77,0.7523333333333334,0.69,0.0556447062471655,0.00011936462672679227
2000,4,naive,3,1.524,1.524,1.5316666666666665,1.486,0.04994330118577798,0.00014319686633967876
2000,4,tiled,3,3.03,3.03,3.0749999999999997,2.991,0.1134063490286149,0.00014319686633967876
2000,8,naive,3,1.17,1.17,1.1676666666666666,1.141,0.02557994005726619,0.00014319686633967876
2000,8,tiled,3,1.394,1.394,1.3966666666666665,1.37,0.02809507667427389,0.00014319686633967876
2000,16,naive,3,1.268,1.268,1.2616666666666667,1.238,0.02122105872319598,0.00014319686633967876
2000,16,tiled,3,1.277,1.277,1.2699999999999998,1.251,0.016643316977093293,0.00014319686633967876
